code,volume
JP.4020,2600
JP.4021,265600
JP.4022,606900
JP.4023,286800
JP.4025,13200
JP.4026,38700
JP.4027,26400
JP.4028,147200
JP.402A,1264500
JP.4031,9400
JP.4040,13500
JP.4041,133600
JP.4042,779600
JP.4043,243900
JP.4044,52500
JP.4045,118000
JP.4046,256700
JP.4047,1023800
JP.404A,8021
JP.4051,14000
JP.4052,794700
JP.4053,227100
JP.4054,12900
JP.4055,37300
JP.4056,227500
JP.4057,19200
JP.4058,20700
JP.4059,4900
JP.4060,1200
JP.4061,396000
JP.4062,11623300
JP.4063,6020600
JP.4064,75400
JP.4068,2700
JP.4069,13100
JP.4071,146900
JP.4072,29300
JP.4073,619300
JP.4074,1600
JP.4075,1669400
JP.4076,44800
JP.4078,120000
JP.407A,7600
JP.4082,342500
JP.4088,830600
JP.408A,1014290
JP.4091,687500
JP.4092,102800
JP.4093,8900
JP.4094,19800
JP.4095,146000
JP.4097,39900
JP.4098,6200
JP.4099,677400
JP.409A,196400
JP.4100,77500
JP.4102,300
JP.4107,111600
JP.4109,34200
JP.410A,27400
JP.4112,42500
JP.4113,22900
JP.4114,790800
JP.4116,126500
JP.4118,123400
JP.4119,1000
JP.4120,500
JP.4124,1500
JP.4125,12400
JP.412A,10932
JP.413A,4429
JP.414A,61100
JP.4151,1549100
JP.415A,3700
JP.4165,268800
JP.4166,600
JP.4167,41200
JP.4168,38200
JP.4169,273100
JP.416A,26400
JP.4170,183800
JP.4172,900
JP.4174,182400
JP.4175,3400
JP.4176,76400
JP.4177,21800
JP.4178,2500
JP.4179,38700
JP.417A,180700
JP.4180,662100
JP.4182,624500
JP.4183,1872000
JP.4186,704400
JP.4187,129000
JP.4188,4725900
JP.4189,93400
JP.4192,100500
JP.4193,10400
JP.4194,190800
JP.4196,86700
JP.4197,800
JP.4198,7600
JP.4199,3400
JP.4202,821700
JP.4203,466600
JP.4204,1369800
JP.4205,616900
JP.4206,123400
JP.4208,587800
JP.4212,36300
JP.4216,13000
JP.4218,52600
JP.421A,95000
JP.4220,204800
JP.4221,37700
JP.4222,311200
JP.4224,11700
JP.4228,187700
JP.4229,13700
JP.4231,14200
JP.4234,19300
JP.4235,13800
JP.4237,15000
JP.4238,92600
JP.423A,9600
JP.4240,6700
JP.4241,78800
JP.4242,1600
JP.4243,2300
JP.4245,18600
JP.4246,149700
JP.4247,400
JP.4248,14300
JP.4249,13000
JP.424A,869890
JP.4251,66000
JP.4255,21600
JP.4256,11500
JP.4258,62700
JP.4259,1244400
JP.425A,222460
JP.4260,6100
JP.4261,3500
JP.4262,5100
JP.4263,182200
JP.4264,15400
JP.4265,24000
JP.426A,2215
JP.4270,3800
JP.4272,483700
JP.4274,73000
JP.4275,95700
JP.4284,32000
JP.4286,38200
JP.4287,11100
JP.4288,18100
JP.428A,30700
JP.4290,921500
JP.4293,409600
JP.4299,3100
JP.429A,424000
JP.4301,25400
JP.4307,1635400
JP.4308,13700
JP.4310,12800
JP.4316,952100
JP.4317,2900
JP.4318,59500
JP.431A,7700
JP.4320,266800
JP.4323,41400
JP.4324,585700
JP.4326,16600
JP.4331,20300
JP.4334,13200
JP.4335,3900
JP.4337,23100
JP.4341,1900
JP.4343,64900
JP.4344,2143500
JP.4345,95700
JP.4346,56700
JP.4347,28900
JP.4350,74100
JP.4351,3500
JP.4356,300
JP.435A,208913
JP.4360,2500
JP.4361,4400
JP.4362,15200
JP.4365,300
JP.4366,148700
JP.4368,451700
JP.4369,519200
